date,station,action,guards,netEdge,timestamp
"2026-02-09","KNYC","BLOCKED",{},0.8499999999999999,"2026-02-09T16:10:41.542Z"
"2026-02-09","KMIA","BLOCKED",{},1.0199999999999998,"2026-02-09T16:10:44.029Z"
"2026-02-09","KDEN","BLOCKED",{},1.02,"2026-02-09T16:10:46.462Z"
"2026-02-09","KNYC","BLOCKED",{},0.72,"2026-02-09T16:12:53.934Z"
"2026-02-09","KMIA","BLOCKED",{},0.8699999999999999,"2026-02-09T16:12:54.337Z"
"2026-02-09","KDEN","BLOCKED",{},1.02,"2026-02-09T16:12:54.737Z"
"2026-02-09","KNYC","BLOCKED",{},0.72,"2026-02-09T16:13:09.262Z"
"2026-02-09","KMIA","BLOCKED",{},0.8699999999999999,"2026-02-09T16:13:09.509Z"
"2026-02-09","KDEN","BLOCKED",{},1.02,"2026-02-09T16:13:09.744Z"
"2026-02-09","KNYC","BLOCKED",{},0.5,"2026-02-09T16:16:52.194Z"
"2026-02-09","KMIA","BLOCKED",{},1.16,"2026-02-09T16:16:52.618Z"
"2026-02-09","KDEN","BLOCKED",{},1.02,"2026-02-09T16:16:53.025Z"
"2026-02-09","KNYC","BLOCKED",{},0.5,"2026-02-09T16:17:15.891Z"
"2026-02-09","KMIA","BLOCKED",{},1.16,"2026-02-09T16:17:16.126Z"
"2026-02-09","KDEN","BLOCKED",{},1.02,"2026-02-09T16:17:16.354Z"
"2026-02-09","KNYC","BLOCKED",{},"N/A","2026-02-09T16:23:28.795Z"
"2026-02-09","KMIA","BLOCKED",{},1.0199999999999998,"2026-02-09T16:23:29.246Z"
"2026-02-09","KNYC","BLOCKED",{},"N/A","2026-02-09T16:23:29.274Z"
"2026-02-09","KMIA","BLOCKED",{},1.0199999999999998,"2026-02-09T16:23:29.510Z"
"2026-02-09","KDEN","BLOCKED",{},1.02,"2026-02-09T16:23:29.647Z"
"2026-02-09","KDEN","BLOCKED",{},1.02,"2026-02-09T16:23:29.750Z"
"2026-02-09","KNYC","BLOCKED",{},"N/A","2026-02-09T16:28:23.107Z"
"2026-02-09","KMIA","BLOCKED",{},1.1699999999999997,"2026-02-09T16:28:23.520Z"
"2026-02-09","KDEN","BLOCKED",{},1.13,"2026-02-09T16:28:23.906Z"
"2026-02-09","KNYC","BLOCKED",{},"N/A","2026-02-09T16:29:30.889Z"
"2026-02-09","KMIA","BLOCKED",{},1.1699999999999997,"2026-02-09T16:29:31.129Z"
"2026-02-09","KDEN","BLOCKED",{},1.13,"2026-02-09T16:29:31.382Z"
